id,input,prediction,actual,generation
 _5HlGjFdH6WD3QHzT82E_hSsC1N12Z5J-turn1,What is the starting state ," {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['initialState']"",'sv': ""['?']""} ","{'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical', 'sn': ""['initialState']"", 'sv': ""['?']""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] What is the starting state  [/INPUT] [ANW] {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['initialState']"",'sv': ""['?']""} [/ANW] </s>"
bq9WYgxCi_ATitsSgtUQUUqZSE2kbkAz-turn5,which are the states connected with 0 ," {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['states']"",'sv': ""['0']""} ","{'ar': 'Transition', 'da': 'Ta:setQuestion', 'in': 'fsa-practical', 'sn': ""['transitions']"", 'sv': ""[[('?','?','0')]]""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] which are the states connected with 0  [/INPUT] [ANW] {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['states']"",'sv': ""['0']""} [/ANW] </s>"
66dde33ea69c9e02a05c3d8d-turn1,Does the automaton return to q0 after every valid input sequence," {'ar': 'Automata', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical','sn': ""['returnsToQ0']"",'sv': ""['?']""} ","{'ar': 'Transition', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical', 'sn': ""['transitions']"", 'sv': ""[[('finalStates','q0','?')]]""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] Does the automaton return to q0 after every valid input sequence [/INPUT] [ANW] {'ar': 'Automata', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical','sn': ""['returnsToQ0']"",'sv': ""['?']""} [/ANW] </s>"
sveUGr-bCBUSZI2QFJORfflTpgefFbKW-turn1,How many states do you have ," {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['numberOfStates']"",'sv': ""['?']""} ","{'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical', 'sn': ""['numberOfStates']"", 'sv': ""['?']""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] How many states do you have  [/INPUT] [ANW] {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['numberOfStates']"",'sv': ""['?']""} [/ANW] </s>"
Em5Mj8ykVSTl8U4QKIZ_n7L1bF8H1kL1-turn1,describe it," {'ar': 'Nan', 'da': 'Ta:request', 'in': 'Nan','sn': 'Nan','sv': 'Nan'} ","{'ar': 'Nan', 'da': 'Ta:request', 'in': 'Nan', 'sn': '[]', 'sv': '[]'}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] describe it [/INPUT] [ANW] {'ar': 'Nan', 'da': 'Ta:request', 'in': 'Nan','sn': 'Nan','sv': 'Nan'} [/ANW] </s>"
66dde24ba69c9e02a05c3d67-turn1,Which state follows q1 in the automaton," {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['transitions']"",'sv': ""[[('q1','?','?')]]""} ","{'ar': 'Transition', 'da': 'Ta:setQuestion', 'in': 'fsa-practical', 'sn': ""['transitions']"", 'sv': ""[[('q1','?','?')]]""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] Which state follows q1 in the automaton [/INPUT] [ANW] {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['transitions']"",'sv': ""[[('q1','?','?')]]""} [/ANW] </s>"
66dc1ce79ddcb359f401a642-turn1,Is there any state in the automaton that has no outgoing transitions," {'ar': 'Transition', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical','sn': ""['transitions']"",'sv': ""[[('?','?')]]""} ","{'ar': 'State', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical', 'sn': ""['stateWithoutTransitions']"", 'sv': ""['?']""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] Is there any state in the automaton that has no outgoing transitions [/INPUT] [ANW] {'ar': 'Transition', 'da': 'Ta:propositionalQuestion', 'in': 'fsa-practical','sn': ""['transitions']"",'sv': ""[[('?','?')]]""} [/ANW] </s>"
66feeda10281fd1ff4448b14-turn2,"The alphabet accepted by this automaton is a binary alphabet made by 0s and 1s. If you want to      know about the language accepted, ask me about it."," {'ar': 'Alphabet', 'da': 'Ta:answer', 'in': 'fsa-practical','sn': ""['alphabet']"",'sv': ""['0','1']""} ","{'ar': 'Alphabet', 'da': 'Ta:answer', 'in': 'fsa-practical', 'sn': ""['alphabet']"", 'sv': ""[['0','1']]""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] The alphabet accepted by this automaton is a binary alphabet made by 0s and 1s. If you want to      know about the language accepted, ask me about it. [/INPUT] [ANW] {'ar': 'Alphabet', 'da': 'Ta:answer', 'in': 'fsa-practical','sn': ""['alphabet']"",'sv': ""['0','1']""} [/ANW] </s>"
66feff5d9021ec0b460c6a26-turn1,output," {'ar': 'Language', 'da': 'Ta:request', 'in': 'fsa-practical','sn': ""['output']"",'sv': ""['?']""} ","{'ar': 'Automata', 'da': 'Ta:request', 'in': 'fsa-practical', 'sn': ""['output']"", 'sv': ""['?']""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] output [/INPUT] [ANW] {'ar': 'Language', 'da': 'Ta:request', 'in': 'fsa-practical','sn': ""['output']"",'sv': ""['?']""} [/ANW] </s>"
Em5Mj8ykVSTl8U4QKIZ_n7L1bF8H1kL1-turn13,which is final state," {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['finalState']"",'sv': ""['?']""} ","{'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical', 'sn': ""['finalStates']"", 'sv': ""['?']""}","<s> [INST] Given the following input in (INPUT), you have to generate the corresponding json in (ANW) [/INST] [INPUT] which is final state [/INPUT] [ANW] {'ar': 'State', 'da': 'Ta:setQuestion', 'in': 'fsa-practical','sn': ""['finalState']"",'sv': ""['?']""} [/ANW] </s>"
